id	name	condition
1	Magdalene	have 7 or more max red hearts at one time
2	Cain	hold 55 pennies at one time
3	Judas	kill Satan for the 1st time
4	The Womb	beat Mom for the 1st time
5	The Harbingers	beat Mom for the 1st time
6	A Cube of Meat	beat Mom for the 1st time
7	The Book of Revelations	beat a horseman for the 1st time
8	A Noose	beat Mom's Heart 3 times (A Noose = Transcendence)
9	The Nail	beat Boss Rush with Demon Isaac
10	A Quarter	beat Mom's Heart 8 times
11	A Fetus in a Jar	beat Mom's Heart 9 times (A Fetus in a Jar = Dr. Fetus)
12	A Small Rock	Destroy 100 tinted rocks
13	Monstro's Tooth	beat Basement II for the 1st time
14	Lil Chubby	beat Caves II for the 1st time
15	Loki's Horns	beat Lokii for the 1st time
16	Something From The Future!	beat the basement 40 times (Steven)
17	Something Cute	beat the caves 30 times (C.H.A.D.)
18	Something Sticky	beat the depths 20 times (Gish)
19	A Bandage	make a super bandage girl (A Bandage = Super Bandage)
20	A Cross	kill Isaac with Maggy (A Cross = Relic)
21	A Bag of Pennies	kill Isaac with Cain
22	The Book of Sin	kill all 7 sins
23	Little Gish	kill Gish
24	Little Steven	kill Steven
25	Little C.H.A.D.	kill C.H.A.D.
26	A Gamekid	visit 10 arcades
27	A Halo	kill Mom using the bible
28	Mr. Mega!	destroy 10 tinted rocks
29	The D6	Kill Isaac with ???
30	The Scissors	die 100 times
31	The Parasite	collect 2 of Bob's Rotten Head, Dead Cat, Max's Head, Tammy's Head
32	???	beat Mom's Heart 10 times
33	Everything is Terrible!!! The game just got harder!	beat Mom's Heart 5 times
34	It Lives!	beat Mom's Heart 11 times
35	Mom's Contact	become mom (collect 3 mom items in one playthrough)
36	The Necronomicon	use the Death Card 4 times
37	Basement Boy	beat the Basement/Cellar without taking damage
38	Spelunker Boy	beat the Caves/Catacombs without taking damage
39	Dark Boy	beat the Depths/Necropolis without taking damage
40	Mamas Boy	beat the Womb/Utero without taking damage
41	Golden God!	beat ??? and Lamb
42	Eve	don't pick up any hearts for 2 levels in a row
43	Mom's Knife	kill Satan with Isaac
44	The Razor	kill Satan with Eve
45	Guardian Angel	kill Satan with Maggy
46	A Bag of Bombs	kill Satan with Cain
47	A Demon Baby!	beat Dark Room with Demon Isaac
48	A Forget Me Now	kill Satan with ???
49	The D20	beat The Chest with Isaac
