id	kind	name	pools	cache	special	gfx
1	passive	The Sad Onion	treasure,greedTreasure	firedelay		Collectibles_001_TheSadOnion.png
2	passive	The Inner Eye	treasure,greedTreasure	damage,firedelay		Collectibles_002_TheInnerEye.png
3	passive	Spoon Bender	treasure,greedTreasure	speed,tearcolor,tearflag		Collectibles_003_SpoonBender.png
4	passive	Cricket's Head	treasure,goldenChest,greedTreasure,greedGoldenChest	damage,shotspeed		Collectibles_004_CricketsHead.png
5	passive	My Reflection	treasure,greedTreasure	range,shotspeed,tearflag		Collectibles_005_MyReflection.png
6	passive	Number One	treasure,greedTreasure	firedelay,range,tearcolor		Collectibles_006_NumberOne.png
7	passive	Blood of the Martyr	treasure,greedTreasure,greedAngel	damage		Collectibles_007_BloodOfTheMartyr.png
8	familiar	Brother Bobby	treasure,devil,greedTreasure			Collectibles_008_BrotherBobby.png
9	passive	Skatole				Collectibles_009_Skatole.png
10	familiar	Halo of Flies	treasure,keyMaster,greedTreasure			Collectibles_010_HaloOfFlies.png
11	familiar	1up!	secret,greedBoss			Collectibles_011_1Up.png
12	passive	Magic Mushroom	treasure,boss,greedTreasure	damage,range,speed		Collectibles_012_MagicMushroom.png
13	passive	The Virus	treasure,demonBeggar,greedTreasure	speed		Collectibles_013_TheVirus.png
14	passive	Roid Rage	treasure,boss,demonBeggar,greedBoss	range,speed		Collectibles_014_RoidRage.png
15	passive	<3	treasure,boss,greedBoss			Collectibles_015_Heart.png
16	passive	Raw Liver	secret,greedBoss			Collectibles_016_RawLiver.png
17	passive	Skeleton Key	secret			Collectibles_017_SkeletonKey.png
18	passive	A Dollar				Collectibles_018_ADollar.png
19	passive	Boom!	treasure,challenge,bossrush,bombBum			Collectibles_019_Boom.png
20	passive	Transcendence	secret	flying		Collectibles_020_Transcendence.png
21	passive	The Compass	shop,beggar			Collectibles_021_TheCompass.png
22	passive	Lunch	boss,beggar,dungeon,greedBoss			Collectibles_022_Lunch.png
23	passive	Dinner	boss,beggar,dungeon,greedBoss			Collectibles_023_Dinner.png
24	passive	Dessert	boss,beggar,dungeon,greedBoss			Collectibles_024_Dessert.png
25	passive	Breakfast	boss,beggar,dungeon,greedBoss			Collectibles_025_Breakfast.png
