id	name	damage	tears	range	speed	shotSpeed	luck	flight	damageMultiplier	fireDelayMultiplier	unverified
0	Isaac	3.5	0	23.75	1	1	0		1	1	
1	Magdalene	3.5	0	23.75	0.85	1	0		1	1	
2	Cain	3.5	0	17.75	1.3	1	0		1.2	1	
3	Judas	3.5	0	23.75	1	1	0		1.35	1	damageMultiplier
4	???	3.5	0	23.75	1.1	1	0		1.05	1	damageMultiplier,speed
5	Eve	3.5	0	23.75	1.23	1	0		0.75	1	damageMultiplier,speed
6	Samson	3.5	-0.1	18.75	1.1	1.31	0		1	1	tears,range,shotSpeed,speed
7	Azazel	3.5	0.5	17.75	1.25	1	0	1	1.5	0.267	damageMultiplier,fireDelayMultiplier,tears,range,speed
8	Lazarus	3.5	0	17.75	1	1	-1		1	1	range,luck
9	Eden	3.5	0	23.75	1	1	0		1	1	damage,tears,speed,range,shotSpeed,luck
10	The Lost	3.5	0	23.75	1	1	0	1	1	1	
11	Lazarus Risen	3.5	0	23.75	1.25	1	0		1.2	1	damageMultiplier,speed
12	Dark Judas	3.5	0	23.75	1.1	1	0		2	1	damageMultiplier,speed
13	Lilith	3.5	0	23.75	1	1	0		1	1	
14	Keeper	3.5	-2	23.75	0.85	1	-2		1.2	1	damageMultiplier,tears,speed,luck
15	Apollyon	3.5	0	23.75	1	1	0		1	1	
16	The Forgotten	3.5	0	23.75	1	1	0		1.5	0.5	damageMultiplier,fireDelayMultiplier
17	The Forgotten Soul	3.5	0	23.75	1.3	1	0	1	1	1	speed
