type	variant	name	hp	boss
1	0	Player	10	
1	1	Coplayer	10	
2	0	Tear	0	
2	1	Blood Tear	0	
2	2	Tooth Tear	0	
2	3	Metallic Tear	0	
2	4	Bobs Head Tear	0	
2	5	Fire Tear	0	
2	6	Dark Matter Tear	0	
2	7	Mysterious Tear	0	
2	8	Scythe Tear	0	
2	9	Chaos Card Tear	0	
2	10	Chaos Card Tear	0	
2	11	Tear	0	
2	12	Blood Tear	0	
2	13	Nail Tear	0	
2	14	Pupula Tear	0	
2	15	Pupula Blood Tear	0	
2	16	God's Flesh Tear	0	
2	17	God's Flesh Blood Tear	0	
2	18	Diamond Tear	0	
2	19	Explosivo Tear	0	
2	20	Coin Tear	0	
2	21	Multidimensional Tear	0	
2	22	Stone Tear	0	
2	23	Nail Blood Tear	0	
2	24	Glaucoma Tear	0	
2	25	Glaucoma Blood Tear	0	
2	26	Booger Tear	0	
2	27	Egg Tear	0	
2	28	Razor Tear	0	
2	29	Bone Tear	0	
2	30	Black Tooth Tear	0	
2	31	Needle Tear	0	
2	32	Belial Tear	0	
2	33	Pop Tear	0	
2	34	Pop Blood Tear	0	
2	35	Balloon Tear	0	
2	36	Hungry Tear	0	
2	37	Brimstone Balloon Tear	0	
2	38	Bomb Balloon Tear	0	
3	1	Brother Bobby	0	
3	2	Demon Baby	0	
3	3	Little Chubby	0	
3	4	Little Gish	0	
3	5	Little Steve	0	
3	6	Robo-Baby	0	
3	7	Sister Maggy	0	
3	8	Abel	0	
3	9	Ghost Baby	0	
3	10	Harlequin Baby	0	
3	11	Rainbow Baby	0	
3	12	Isaacs Head	0	
3	13	Blue Baby Soul	0	
3	14	Dead Bird	0	
3	15	Eves Bird Foot	0	
3	16	Daddys Foot	0	
3	17	Peepers Eye	0	
3	20	Bomb Bag	0	
3	21	Sack of Pennies	0	
3	22	Little C.H.A.D.	0	
3	23	The Relic	0	
3	24	Bum Fiend	0	
3	25	Holy Water	0	
3	26	Key Piece 1	0	
3	27	Key Piece 2	0	
3	28	Full Key	0	
3	30	Forever Alone	0	
3	31	Distant Admiration	0	
3	32	Guardian Angel	0	
3	33	Fly Orbital	0	
3	35	Sacrificial Dagger	0	
3	40	Dead Cat	0	
3	41	1UP	0	
3	42	Guppys Hair Ball	0	
3	43	Attack Fly	0	
3	44	Cube of Meat L1	0	
3	45	Cube of Meat L2	0	
3	46	Cube of Meat L3	0	
3	47	Cube of Meat L4	0	
3	48	Isaacs Body	0	
3	50	Smart Fly	0	
3	51	Dry Baby	0	
3	52	Juicy Sack	0	
3	53	Robo-Baby 2.0	0	
3	54	Rotten Baby	0	
3	55	Headless Baby	0	
3	56	Leech	0	
3	57	Mystery Sack	0	
3	58	BBF	0	
3	59	Bob's Brain	0	
3	60	Best Bud	0	
3	61	Lil' Brimstone	0	
3	62	Isaac's Heart	0	
3	63	Lil' Haunt	0	
3	64	Dark Bum	0	
3	65	Big Fan	0	
3	66	Sissy Longlegs	0	
3	67	Punching Bag	6	
3	68	Guillotine	0	
3	69	Ball of Bandages L1	0	
3	70	Ball of Bandages L2	0	
3	71	Ball of Bandages L3	0	
